Animal,Phase,File,BEH,Status
H2224,P2Allo,H2224_A33_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_POS1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO5_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_CHO4_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_POS1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_CHO3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_CTC1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_CHO2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_PRE1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO6_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_PRE2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_CHO1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_SAM1_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A31_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A32_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A34_SAM2_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A33_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A29_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A30_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
H2224,P2Allo,H2224_A28_SAM3_events_dlc.csv,H2224_A33_SAM_BEH.flv,Checked
